Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
VASIREDDY VENKATADRI INTERNATIONAL TECHNOLOGICAL UNIVERSITY,5,1,4
SAI SUDHIR DEGREE PG CLG,1,0,1
RGUKT-RK,1,1,0
"VIJAYA ENGINEERING COLLEGE, KHAMMAM",1,1,0
SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,1,0,1
VIGNAN'S LARA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
ACME DEGREE COLLEGE,8,2,6
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,2,1,1
SREE VENKATESWARA COLLEGE OF ENGINEERING,1,1,0
ST.MARY'S CENTENARY DEGREE COLLEGE,1,0,1
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE,1,0,1
RISHI UBR WOMEN'S DEGREE,1,0,1
SVS GROUP OF INSTITUTIONS,2,0,2
ST PETER'S ENGINEERING COLLEGE HYDERABAD,1,1,0
JBIET,1,0,1
RGM COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
IBM,1,0,1
N.K ORCHID COLLEGE OF ENGINEERING AND TECHNOLOGY SOLAPUR,1,1,0
DECCAN FINE CHEMICALS,1,0,1
"RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY, NANDYAL",3,1,2
VIGNAN INSTITUTE OF TECHNOLOGY AND SCIENCE,2,0,2
EAST WEST INSTITUTE OF TECHNOLOGY,1,1,0
RGMCET-RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
SHREE MEDHA DEGREE COLLEGE,1,1,0
JNTUH COLLEGE OF ENGINEERING JAGITYAL,1,1,0
NARASIMHA REDDY ENGINEERING COLLEGE - A C E ENGINEERING COLLEGE (AUTONOMOUS),1,0,1
J.B.INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
AVINASHILINGAM UNIVERSITY,1,1,0
MATURE VENKATA SUBBA RAO ENGINEERING COLLEGE,1,0,1
KLU - K L UNIVERSITY,23,10,13
SRI VENKATESHWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
ISLC - ISL ENGINEERING COLLEGE,1,1,0
MVSR ENGINEERING COLLEGE,1,1,0
HIMACHAL PRADESH TECHNICAL UNIVERSITY,1,0,1
TALLA PADMAVATHI COLLEGE OF ENGINEERING,1,0,1
RITW - RISHI UBR WOMEN'S COLLEGE,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES BASAR,2,0,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,BASAR",2,2,0
RISHI UBR WOMENS' COLLEGE,1,0,1
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,1,0,1
MESCO INSTITUTE OF MANAGEMENT AND COMPUTER SCIENCE,1,0,1
GD GOENKA,1,0,1
NIZAM COLLEGE,2,1,1
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
VNR VJET- VALLURIPALLI NAGESHWAR RAO VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,1,0,1
MALLAREDDY ENGINEERING COLLEGE FOR WOMEN,2,1,1
SWAMI VIVEKANANDA INSTITUTE OF TECHNOLOGY,1,0,1
JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,17,7,10
MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,5,3,2
MALLA REDDY COLLEGE OF ENGINEERING,4,3,1
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,1,0,1
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,3,2,1
DRONACHARYA COLLEGE OF ENGINEERING,1,1,0
GANDHI INSTITUTE OF TECHNOLOGY,1,0,1
INSTITUTE OF AERONAUTICAL ENGINEERING,3,2,1
VRSEC,1,1,0
RISH,1,0,1
VIGNAN'S NIRULA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,1,1,0
MREC - MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),22,10,12
SHADAN WOMEN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
CHANDIGARH ENGINEERING COLLEGE,1,1,0
GOVERNMENT DEGREE COLLEGE FOR WOMEN,1,1,0
MU - MAHINDRA UNIVERSITY,3,2,1
MDRK - MADHIRA INSTITUTE OF TECHNOLOGY AND SCIENCES,1,0,1
K. K COLLEGE OF ENGINEERING AND MANAGEMENT,1,0,1
MLTM - MALLA REDDY NSTITUTE OF TECHNOLOGY AND SCIENCE,1,1,0
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3,1,2
AURORA'S TECHNOLOGICAL AND RESEARCH INSTITUTE,1,0,1
BVC ENGINEERING COLLEGE,3,1,2
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,1,0,1
NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA SURATHKAL,1,1,0
VIT UNIVERSITY AP,1,0,1
LOYOLA ACADEMY DEGREE AND PG COLLEGE,2,2,0
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,1,1,0
SREEN,1,0,1
RAMAKRISHNA DEGREE AND PG COLLEGE,1,0,1
SBIT,1,1,0
DR.MGR UNIVERSITY,1,1,0
JNTUH COLLEGE OF ENGINEERING JAGTIAL,1,1,0
SAMSKRUTHI COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
SR UNIVERSITY,3,1,2
JOGINPALLY BR ENGINEERING COLLAGE,1,0,1
"SKIT , JAIPUR",1,0,1
VAAGDEVI ENGINEERING COLLEGE,5,4,1
KALSALINGAM ACADEMY OF RESEARCH AND EDUCATION,2,0,2
RGUKT SRIKAKULAM,2,0,2
JAYAMUKHI INSTITUTE OF TECHNOLOGICAL SCIENCES,2,1,1
MALLA REDDY INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
MATURI VENKATA SUBBARAO ENGINEERING COLLEGE,1,1,0
GAYATRI VIDYA PARISHAD COLLAGE FOR DEGREE AND PG COURSES,1,1,0
WITS - WARANGAL INST OF TECHNOLOGY SCIENCE,11,7,4
VIDYA JYOTI INSTITUTE OF TECHNOLOGY,1,1,0
VALLURUPALLI NAGESWARA RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING &TECHNOLOGY,1,0,1
BVC ENGINEERING COLLEGE ODALAREVU,1,0,1
VELLORE INSTITUTE OF TECHNOLOGY VELLORE,1,0,1
GNITC- GURU NANAK TECHNICAL CAMPUS,1,1,0
VNR VIGNANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
"ZAKIR HUSSAIN COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH MUSLIM UNIVERSITY",1,0,1
MRITS - MALLAREDDY INST OF TECHNOLOGY AND SCIENCE,1,1,0
GTBIT GGSIPU,1,0,1
WARANGAL INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
MUFFAKHAM JAH COLLEGE OF ENGINEERING,1,1,0
MATURI VENKATA SUBBA RAO,1,1,0
INDIRA GANDHI DELHI TECHNICAL UNVERSITY FOR WOMEN,1,0,1
VAAGDEVI COLLEGE OF ENGINEERING,1,1,0
G PULLA REDDY ENGINEERING COLLEGE,3,2,1
MATRUSRI ENGINEERING COLLEGE,3,2,1
AIMS,1,0,1
GPREC - G PULLA REDDY ENGINEERING COLLEGE,1,1,0
ST MARY'S INTEGRATED CAMPUS,1,0,1
NARSIMHA REDDY ENGINEERING COLLEGE,3,1,2
VSM COLLEGE,1,0,1
MAHARANA INSTITUTE OF PROFESSIONAL,1,0,1
GAUHATI UNIVERSITY INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
JAYPEE UNIVERSITY OF INFORMATION TECHNOLOGY WAKNAGHAT SOLAN HIMACHAL PRADESH,1,1,0
GAUHATI UNIVERSITY,3,1,2
SIR C.R.REDDY COLLEGE OF ENGINEERING,1,1,0
IES IPS ACADEMY INDORE(M.P),1,1,0
SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN’S,1,0,1
SRI VISHNU ENGINEERING COLLEGE FOR WOMEN,1,0,1
VBEC - VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY,1,0,1
KMM INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",3,2,1
SNIS - SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
SVECW-SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,1,1,0
INTERNATIONAL SCHOOL OF TECHNOLOGIES AND SCIENCES FOR WOMENS,1,1,0
- CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),1,0,1
JNTU,1,0,1
D.R B.C ROY ENGINEERING COLLEGE,1,1,0
DR. B.C ROY ENGINEERING COLLEGE,1,1,0
SRKIT,2,1,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),1,1,0
RAJEEV GANDHI MEMORIAL COLLEGE,1,1,0
HITAM,1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES RKVALLEY,1,1,0
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DESIGN AND MANUFACTURING KANCHEEPURAM,2,0,2
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
KITSW - KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
LOYOLA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1,0,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,1,0,1
BHARAT INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
RISHI MS INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,7,1,6
RITW - RISHI MS INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,1,1,0
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY PEDDAPALLI,1,1,0
RISHI MS INST OF ENGG AND TECH FOR WOMEN,3,0,3
SWARNA BHARATHI INSTITUTE OF SCIENCE AND TECHNOLOGY,2,0,2
RISHI M.S INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,2,1,1
SWARNA BHARATHI INSTITUTE SCIENCE AND TECHNOLOGY,1,0,1
KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY FOR WOMEN,2,1,1
MALLAREDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCE,1,1,0
VELLORE INSTITUTE OF TECHNOLOGY AMARAVATHI ANDRA PRADESH,1,1,0
BITS - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,1,0,1
MALLAREDDY COLLEGE OF ENGINEERING FOR WOMEN,1,1,0
GD.GOENKA UNIVERSITY,1,1,0
DR.M.G.R EDUCATIONAL AND RESEARCH INSTITUTE,1,0,1
TRR COLLEGE OF TECHNOLOGY,1,0,1
TKR COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
VRSEC-VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE,1,1,0
G. NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,2,2,0
BASAR IIIT,1,1,0
SP COLLEGE PADMARAONAGAR,1,0,1
RISHI MS INSTITUTE OF TECHNOLOGY FOR WOMEN,1,0,1
MALLAREDDY UNIVERSITY,3,1,2
MRIET(MALLLAREDDY INSTITUTE OF ENGINEERING AND TECHNOLOGY),1,1,0
RGUKT IIIT BASAR,2,0,2
GOVERNMENT POLYTECHNIC PANJIM,1,0,1
SRINIVASA LNSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
WESLEY DEGREE COLLEGE,1,0,1
ADDIS ABABA UNIVERSITY,1,0,1
SRI MITTAPALI INSTITUTE OF TECHNOLOGY FOR WOMEN,1,0,1
"SOBHASARIA GROUP OF INSTITUTIONS, SIKAR",1,1,0
ERICSSON,1,0,1
MRECW-MALLA REDDY ENGINEERING COLLEGE FOR WOMEN (AUTONOMOUS),1,0,1
MLR- MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY BASAR,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,IIIT BASAR",1,1,0
CMR ENGNEERING COLLEGE,1,0,1
SJC INSTITUTE OF TECHNOLOGY,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES -BASAR,3,3,0
THE ICFAI FOUNDATION FOR HIGHER EDUCATION,2,1,1
IIT GANDHINAGAR,1,1,0
SDGI - SREE DATTHA GRP OF INSTNS,4,3,1
UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,1,1,0
"VIGNAN UNIVERSITY ,GUNTUR",1,0,1
MVRG-MVGR COLLEGE OF ENGINEERING(AUTONOMOUS),1,0,1
SNIST - SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,1,1,0
KPRT - KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,1,0,1
ETHIRAJ COLLEGE FOR WOMEN,2,0,2
GDGD,1,0,1
SIDDHARTH INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
ANDHRA UNIVERSITY,8,5,3
SEARS,1,1,0
AD,1,0,1
"NRI INSTITUTE OF TECHNOLOGY, GUNTUR",1,1,0
ISPACE SOFTWARE SOLUTIONS PVT LTD,1,0,1
JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,4,4,0
ALNM WOMEN'S DEGREE COLLEGE,1,0,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY ANANTAPUR,1,0,1
JNTUHCER,1,1,0
CUH,1,0,1
RVRJCCE,1,0,1
VELAGAPUDI RAMAKRISHNA SIDDARTHA COLLEGE OF ENGINEERING,1,1,0
LENDI INSTITUTE OF ENGINEERING,1,1,0
RGUKT-BASAR,1,1,0
SWARNA BHARITHI INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY,3,1,2
GAYATRI VIDYA PARISHAD,2,1,1
RGUKT-B,1,0,1
VITAP UNIVERSITY,2,1,1
RGUKT BASAR -IIIT,1,0,1
CHAITANYA DEEMED TO BE UNIVERISTY,1,0,1
PROFESSOR JAYASHANKAR TELANGANA STATE AGRICULTURAL UNIVERSITY,1,1,0
MVGR-MAHARAJ VIJAYARAM GAJAPATHIRAJ ENGINEERING COLLEGE (AUTONOMOUS ),1,0,1
AIML,1,0,1
ST.ANN'S COLLEGE FOR WOMEN,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES, IIIT BASAR",1,1,0
JNTUA ANANTAPUR,1,0,1
UNIVERSITY COLLEGE OF ENGINEERING OSMANIA,1,1,0
GITAM - GITAM UNIVERSITY,40,14,26
VBIT,1,0,1
CHAITHANYA DEEMED TO BE UNIVERSITY,3,0,3
MADANAPALL INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1,0,1
IIIT BHUBANESHWAR,1,1,0
JNTUA COLLEGE OF ENGINEERING,1,0,1
VIT - VELLORE INSTITUTE OF TECHNOLOGY,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES ,BASAR",1,1,0
S.L.R.PRATHIBHA MODEL DEGREE COLLEGE,1,0,1
JNTUH UNIVERSITY COLLEGE OF ENGINEERING JAGTIAL,1,0,1
RVR AND JC COLLEGE OF ENGINEERING,1,0,1
NBM LAW COLLEGE,1,0,1
GPREC,1,0,1
ST. MARY'S CENTENERY DEGREE COLLEGE,1,0,1
"GIRRAJ GOVT COLLEGE, NZD",1,0,1
VASIREDDY VENKATADRI ITERNATIONAL TECHNOLOGICAL UNIVERSITY,1,0,1
SRGEC,1,0,1
NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,2,0,2
GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,3,1,2
KUEWSF - UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,4,4,0
RGUKT-BASARA,1,1,0
R.M.D ENGINEERING COLLEGE,1,0,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY (IIIT), DHARWAD",1,1,0
KRISHANAVENI ENGINEERING COLLEGE FOR WOMEN NARASARAOPET,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES (AUTONOMOUS),1,0,1
PRIYADARSHINI COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
RV INSTITUTE OF TECHNOLOGY,1,0,1
DIPLOMA COMPLETED AND GOING TO BETCH AS LATERAL ENTRY,1,0,1
R. V. R & J. C. COLLEGE OF ENGINEERING,1,0,1
SAGE UNIVERSITY INDORE,1,0,1
MOHAN BABU UNVERSITY,1,0,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY- DHARWAD,1,0,1
PACE INSTITUTION OF TECHNOLOGY AND SCIENCES,1,0,1
"SREE VAHINI INSTITUTE OF SCIENCE AND TECHNOLOGY,TIRUVUR",1,0,1
VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,55,24,31
VIGNAN'S INSTITUE OF INFORMATION TECHNOLOGY,1,1,0
VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY,12,5,7
DBSIT COLLEGE,1,1,0
"VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,VISAKHAPATNAM",1,0,1
VIGNAN INSTITUTE OF INFORMATION TECHNOLOGY,6,3,3
VIGNAN'S INSTITUTE OF INFORMATION& TECHNOLOGY,1,0,1
IT JARGONS,1,0,1
MUTHYAMMAL ENGINEERING COLLEGE,1,0,1
VIGNAN INSTITUTE OF INFORMATION AND TECHNOLOGY,2,0,2
GITAM UNIVERSITY,2,0,2
VIIT VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,1,1,0
"IGNTU, AMARKANTAK",1,0,1
CMR TECHNICAL CAMPUS,1,0,1
LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
VIIT - VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,2,1,1
UNIVERSITY OF MARYLAND,1,0,1
PADMASRI B.V.RAJU INSTITUTE OF TECHNOLOGY,1,0,1
MAA SHAKUMBHARI UNIVERSITY SAHARANPUR,1,1,0
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE WARANGAL,1,1,0
VIGNAN’S INSTITUTE OF INFORMATION TECHNOLOGY,1,0,1
VIIT-VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,1,0,1
RAO'S COLLEGE,1,0,1
KITS - KRISHANA CHATAINTYA INSTITUTE OF TECHNOLOGY AND SCL,1,1,0
IIIT VADODARA,1,1,0
KRISHNA CHAITANYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
"GOVT. CITY COLLEGE (A), HYDERABAD",1,0,1
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,1,0,1
VIGNAN INSTITUTE OF INFORMATION ANDTECHNOLOGY,1,0,1
DR.K.V. SUBBA REDDY INSTITUTE OF TECHNOLOGY,1,0,1
PARUL INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
VIKRAMA SIMHAPURI UNIVERSITY,1,0,1
"NRI INSTITUTE OF TECHOLOGY , POTHAVARAPADU",1,1,0
SATAVHANA,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES ANDHRA PRADESH,1,1,0
MAHARAJ VIJAYARAM GAJAPATHIRAJ COLLEGE OF ENGINEERING,1,1,0
KIET - KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,2,1,1
KLH,1,1,0
VISHNU INSTITUTE OF TECHNOLGY,1,0,1
OUCT - O U COLLEGE OF TECH HYDERABAD,4,1,3
S.V.D.G.D.C.WOMEN IN NIDADAVOLU,1,0,1
AUDISANKARA INSTITUTE OF TECHNOLOGY,1,0,1
OUCESF - O U COLLEGE OF ENGG HYDERABAD - SELF FINANCE,1,1,0
JNTU KAKINADA,1,0,1
ACHARYA INSTITUTE OF MANAGEMENT AND SCIENCES,1,0,1
NAGARJUNA COLLEGE OF ENGEERING AND TECHNOLOGY,1,0,1
CONCORDIA UNIVERSITY WISCONSIN,1,1,0
JANSONS INSTITUTE OF TECHNOLOGY,3,1,2
DVR DR HS MIC COLLEGE OF TECHNOLOGY,1,0,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, MANIPUR",2,0,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY,BASAR",1,1,0
RGUKT RKVALLEY,1,1,0
JNTUK,1,0,1
NIT ANDHRAPRADESH,1,1,0
"SIR CR REDDY COLLEGE OF ENGINEERING, ELURU",1,1,0
MGU,1,0,1
SREE VIDYANIKETAN ENGENEERING COLLEGE,1,0,1
LOYOLA ACADEMY HYDERABAD,1,1,0
IIIT SONEPAT HARYANA,1,1,0
ALPHORES WOMEN'S DEGREE COLLEGE KARIMNAGAR,2,0,2
SIR C R REDDY COLLEGE OF ENGINEERING ELURU,1,0,1
PSCMR ENGENEERING COLLEGE,1,1,0
KUWLSF - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,2,2,0
MADANAPALLE INSTITUTE OF TECHNOLOGY & SCIENCE,2,2,0
SPHOORTHY ENGINEERING COLLEGE,1,1,0
GAYATHRI VIDYA PARISHAD PG AND DEGREE COURSES(A),1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES- BASAR,1,1,0
NMIMS,1,1,0
ADITYA UNIVERSITY(FORMERLY ADITYA ENGINEERING COLLEGE,1,0,1
SASI,1,0,1
RAJAMAHENDRI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,1,0
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,1,0,1
BABU BANARASI DAS UNIVERSITY,1,0,1
DR BC ROY ENGINEERING COLLEGE,3,0,3
DR.B.C. ROY ENGINEERING COLLEGE,1,0,1
MANIPAL ACADEMY OF HIGHER EDUCATION,1,1,0
VARAPRASAD REDDY INSISTUTE OF TECNOLOGY,1,0,1
VNR VJIET,3,0,3
ST ANNA'S COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
SRI VASAVI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
"RAJIV GANDHI INSTITUTE OF KNOWLEDGE AND TECHNOLOGIES ,RK VALLEY",1,1,0
RAJIV GANDHI UNIVERSITY AND KNOWLEDGE TECHNOLOGIES,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR.",1,1,0
"RGUKT, RK VALLEY",1,1,0
VNRVJIET,2,1,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY, RK VALLEY",1,0,1
VNR VIGNAN JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
SRI VASAVI ENGINEERING COLLEGE,2,1,1
VELLORE INSTITUE OF TECHNOLOGY,1,1,0
VEMUIT,1,0,1
LIFE ENTERPRISES,1,0,1
NORTHERN ILLINOIS UNIVERSITY,1,0,1
AMRITA VISHWA VIDYAPEETHAM CHENNAI,1,0,1
HINDUSTAN UNIVERSITY,1,0,1
DAYANANDA SAGAR ACADEMY OF TECH & MGMT,1,0,1
IIT PATNA,2,2,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY RK VALLEY UDUPU,1,1,0
AURORA PG COLLEGE RAMANTHAPUR,1,1,0
"RGUKT,BASAR",1,0,1
KKR AND KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,3,2,1
AVANTHI'S RESEARCH AND TECHNOLOGICAL ACADEMY,1,0,1
KIET,1,0,1
SRI SAI KRISHNA DEGREE COLLEGE,1,1,0
T JOHN INSTITUTE OF TECHNOLOGY,1,0,1
AMAZON ADS,1,0,1
AZAD - AZAD COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
MNNIT-MOTILAL NEHRU NATIONAL INSTITUTE OF TECHNOLOGY ALLAHABAD,1,1,0
NIZAM COLLEGE BASHEERBAGH HYDERABAD,1,1,0
"NIZAM COLLEGE AUTONOMOUS, BASHEER BAGH, HYDERABAD, TELANGANA 500001",1,1,0
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING,4,1,3
NARASARAOPETA INSTITUTE OF TECHNOLOGY,1,1,0
BANARAS HINDU UNIVERSITY,1,1,0
"AMRITA VISHWA VIDYAPEETHAM, BANGALORE",1,1,0
"VIGNAN'S FOUNDATION FOR SCIENCE, TECHNOLOGY AND RESEARCH (DEEMED TO BE UNIVERSITY)",1,0,1
DVR&DR.HS MIC COLLEGE OF TECHNOLOGY,1,0,1
ACME DEGREE COLLEGE MALAKPET HYDERABAD,1,0,1
BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCE,2,1,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY OF KAKINADA,1,0,1
MDRK - MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,1,1,0
KITS AKSHAR INSTITUTE OF TECHNOLOGY,1,0,1
ADITYA UNIVERISTY,1,0,1
SRI VASAVI INSTITUTE OF ENGINEERING AND TECHNOLOGY NANDAMURU,1,0,1
"NATIONAL FORENSIC SCIENCES UNIVERSITY, GANDHINAGAR",1,0,1
MVGR COLLEGE OG ENGINEERING (MVGRCE),1,1,0
UNIVERSITY OF PETROLEUM AND ENERGY STUDIES,1,0,1
VIT-APUNIVERSITY,1,1,0
BANGALORE INSTITUTE OF TECHNOLOGY BENGALURU,1,0,1
JNTU GV,1,1,0
ADITYA DEGREE COLLEGE VIZIANAGARAM,1,1,0
RISHI MS INSTITUTE OF TECHNOLOGY AND ENGINEERING COLLEGE,1,0,1
RGUKT- RAJIV GANDHI UNIVERSITY KNOWLEDGE TECHNOLOGIES - BASAR,1,0,1
"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY, BHUBANESWAR",1,1,0
MAHARAJA SURAJMAL INSTITUTE OF TECHNOLOGY,1,1,0
IIT BHU VARANASI,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,29,11,18
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY ONGOLE,1,0,1
KIET GROUP OF INSTITUTIONS,4,1,3
VIGNAN LARA INSTITUTE TECHNOLOGY AND SCIENCE,1,0,1
RISHI MS INSTITUTE OF ENGEENERING AND TECHNOLOGY FOR WOMEN,1,0,1
"KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY, KORANGI",1,0,1
INDIAN INSTITUTE OF TECHNOLOGY PATNA,3,2,1
VELAGAPUDI RAMAKRISHNA SIDHHARTHA ENGINEERING COLLEGE,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY -WOMENS,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY - WOMEN,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY-WOMEN,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY - WOMENS,1,1,0
KAKINADA INSTITUTIONS OF ENGINEERING AND TECHNOLOGY,3,2,1
